run_id,instance_id,bom_file,strategy,model_type,service_time_promised,suppliers_available,tax_rate,cap_value,cap_level,objective_value,total_cost_with_tax,total_cost_without_tax,procurement_cost,inventory_holding_cost,carbon_cost,achieved_service_time,service_constraint_binding,total_emissions,baseline_emissions,emission_reduction_pct,WIP,WIP_reduction_pct,DIO,DIO_improvement_pct,ITR,buffer_count,avg_decoupled_lead_time,suppliers_used,solver_status,runtime_sec,mip_gap,comparison_admissible,comparison_exclusion_reason
HYB-bom_13-tax_15_cap_100,bom_13,bom_supemis_13.csv,EMISHYBRID,PLM,1,10,15,29495946,100%,117020,116890.43919,116448,,,442.43919,0,0,29495946,29495946,0,,,134,0.74074074074074,,7,9.5714285714286,8,OPTIMAL,0.05,0,1,
HYB-bom_13-tax_15_cap_95,bom_13,bom_supemis_13.csv,EMISHYBRID,PLM,1,10,15,28021148.7,95%,118960,118829.057815,118411,,,418.057815,0,0,27870521,29495946,5.5106725514076,,,127,5.9259259259259,,7,9.0714285714286,8,OPTIMAL,0.08,0,1,
HYB-bom_13-tax_15_cap_90,bom_13,bom_supemis_13.csv,EMISHYBRID,PLM,1,10,15,26546351.4,90%,120080,119948.21469,119556,,,392.21469,0,0,26147646,29495946,11.35172948852,,,127,5.9259259259259,,7,9.0714285714286,8,OPTIMAL,0.27,0,1,
HYB-bom_13-tax_15_cap_85,bom_13,bom_supemis_13.csv,EMISHYBRID,PLM,1,10,15,25071554.1,85%,127600,127475.40883,127100.5,,,374.90883,0,0,24993922,29495946,15.263195830369,,,120,11.111111111111,,9,8.5714285714286,8,OPTIMAL,0.25,0,1,
HYB-bom_13-tax_15_cap_80,bom_13,bom_supemis_13.csv,EMISHYBRID,PLM,1,10,15,23596756.8,80%,128360,128241.36058,127888,,,353.36058,0,0,23557372,29495946,20.133526146271,,,117,13.333333333333,,9,8.3571428571429,8,OPTIMAL,0.14,0,1,
HYB-bom_13-tax_15_cap_75,bom_13,bom_supemis_13.csv,EMISHYBRID,PLM,1,10,15,22121959.5,75%,152070,151967.16988,151636,,,331.16988,0,0,22077992,29495946,25.149062857655,,,102,24.444444444444,,10,7.2857142857143,7,OPTIMAL,0.23,0,1,
HYB-bom_13-tax_15_cap_70,bom_13,bom_supemis_13.csv,EMISHYBRID,PLM,1,10,15,20647162.2,70%,170910,170815.45523,170516,,,299.45523,0,0,19963682,29495946,32.317200472228,,,90,33.333333333333,,10,6.4285714285714,7,OPTIMAL,0.66,0,1,
HYB-bom_13-tax_50_cap_none,bom_13,bom_supemis_13.csv,EMISHYBRID,PLM,1,10,50,100000000,none,118060,117922.7973,116448,,,1474.7973,0,0,29495946,29495946,0,,,134,0.74074074074074,,7,9.5714285714286,8,OPTIMAL,0.09,0,1,
HYB-bom_13-tax_50_cap_100,bom_13,bom_supemis_13.csv,EMISHYBRID,PLM,1,10,50,29495946,100%,118060,117922.7973,116448,,,1474.7973,0,0,29495946,29495946,0,,,134,0.74074074074074,,7,9.5714285714286,8,OPTIMAL,0.06,0,1,
HYB-bom_13-tax_50_cap_95,bom_13,bom_supemis_13.csv,EMISHYBRID,PLM,1,10,50,28021148.7,95%,119930,119804.52605,118411,,,1393.52605,0,0,27870521,29495946,5.5106725514076,,,127,5.9259259259259,,7,9.0714285714286,8,OPTIMAL,0.08,0,1,
HYB-bom_13-tax_50_cap_90,bom_13,bom_supemis_13.csv,EMISHYBRID,PLM,1,10,50,26546351.4,90%,120990,120863.3823,119556,,,1307.3823,0,0,26147646,29495946,11.35172948852,,,127,5.9259259259259,,7,9.0714285714286,8,OPTIMAL,0.13,0,1,
HYB-bom_13-tax_50_cap_85,bom_13,bom_supemis_13.csv,EMISHYBRID,PLM,1,10,50,25071554.1,85%,128470,128350.1961,127100.5,,,1249.6961,0,0,24993922,29495946,15.263195830369,,,120,11.111111111111,,9,8.5714285714286,8,OPTIMAL,0.14,0,1,
HYB-bom_13-tax_50_cap_80,bom_13,bom_supemis_13.csv,EMISHYBRID,PLM,1,10,50,23596756.8,80%,129180,129065.8686,127888,,,1177.8686,0,0,23557372,29495946,20.133526146271,,,117,13.333333333333,,9,8.3571428571429,8,OPTIMAL,0.2,0,1,
HYB-bom_13-tax_50_cap_75,bom_13,bom_supemis_13.csv,EMISHYBRID,PLM,1,10,50,22121959.5,75%,152840,152739.8996,151636,,,1103.8996,0,0,22077992,29495946,25.149062857655,,,102,24.444444444444,,10,7.2857142857143,7,OPTIMAL,0.28,0,1,
HYB-bom_13-tax_50_cap_70,bom_13,bom_supemis_13.csv,EMISHYBRID,PLM,1,10,50,20647162.2,70%,171600,171514.1841,170516,,,998.1841,0,0,19963682,29495946,32.317200472228,,,90,33.333333333333,,10,6.4285714285714,7,OPTIMAL,0.5,0,1,
HYB-bom_13-tax_75_cap_none,bom_13,bom_supemis_13.csv,EMISHYBRID,PLM,1,10,75,100000000,none,118790,118660.19595,116448,,,2212.19595,0,0,29495946,29495946,0,,,134,0.74074074074074,,7,9.5714285714286,8,OPTIMAL,0.14,0,1,
HYB-bom_13-tax_75_cap_100,bom_13,bom_supemis_13.csv,EMISHYBRID,PLM,1,10,75,29495946,100%,118790,118660.19595,116448,,,2212.19595,0,0,29495946,29495946,0,,,134,0.74074074074074,,7,9.5714285714286,8,OPTIMAL,0.06,0,1,
HYB-bom_13-tax_75_cap_95,bom_13,bom_supemis_13.csv,EMISHYBRID,PLM,1,10,75,28021148.7,95%,120630,120501.289075,118411,,,2090.289075,0,0,27870521,29495946,5.5106725514076,,,127,5.9259259259259,,7,9.0714285714286,8,OPTIMAL,0.08,0,1,
HYB-bom_13-tax_75_cap_90,bom_13,bom_supemis_13.csv,EMISHYBRID,PLM,1,10,75,26546351.4,90%,121640,121517.07345,119556,,,1961.07345,0,0,26147646,29495946,11.35172948852,,,127,5.9259259259259,,7,9.0714285714286,8,OPTIMAL,0.36,0,1,
HYB-bom_13-tax_75_cap_85,bom_13,bom_supemis_13.csv,EMISHYBRID,PLM,1,10,75,25071554.1,85%,129100,128975.09065,127100.5,,,1874.59065,0,0,24994542,29495946,15.261093846592,,,120,11.111111111111,,9,8.5714285714286,8,OPTIMAL,0.19,0,1,
HYB-bom_13-tax_75_cap_80,bom_13,bom_supemis_13.csv,EMISHYBRID,PLM,1,10,75,23596756.8,80%,129770,129654.8029,127888,,,1766.8029,0,0,23557372,29495946,20.133526146271,,,117,13.333333333333,,9,8.3571428571429,8,OPTIMAL,0.16,0,1,
HYB-bom_13-tax_75_cap_75,bom_13,bom_supemis_13.csv,EMISHYBRID,PLM,1,10,75,22121959.5,75%,153390,153291.8494,151636,,,1655.8494,0,0,22077992,29495946,25.149062857655,,,102,24.444444444444,,10,7.2857142857143,7,OPTIMAL,0.25,0,1,
HYB-bom_13-tax_75_cap_70,bom_13,bom_supemis_13.csv,EMISHYBRID,PLM,1,10,75,20647162.2,70%,172100,172013.27615,170516,,,1497.27615,0,0,19963682,29495946,32.317200472228,,,90,33.333333333333,,10,6.4285714285714,7,OPTIMAL,1.19,0,1,
HYB-bom_13-tax_100_cap_none,bom_13,bom_supemis_13.csv,EMISHYBRID,PLM,1,10,100,100000000,none,119530,119397.5946,116448,,,2949.5946,0,0,29495946,29495946,0,,,134,0.74074074074074,,7,9.5714285714286,8,OPTIMAL,1.38,0,1,
HYB-bom_13-tax_100_cap_100,bom_13,bom_supemis_13.csv,EMISHYBRID,PLM,1,10,100,29495946,100%,119530,119397.5946,116448,,,2949.5946,0,0,29495946,29495946,0,,,134,0.74074074074074,,7,9.5714285714286,8,OPTIMAL,0.11,0,1,
HYB-bom_13-tax_100_cap_95,bom_13,bom_supemis_13.csv,EMISHYBRID,PLM,1,10,100,28021148.7,95%,121330,121198.0521,118411,,,2787.0521,0,0,27870521,29495946,5.5106725514076,,,127,5.9259259259259,,7,9.0714285714286,8,OPTIMAL,0.31,0,1,
HYB-bom_13-tax_100_cap_90,bom_13,bom_supemis_13.csv,EMISHYBRID,PLM,1,10,100,26546351.4,90%,122300,122170.7646,119556,,,2614.7646,0,0,26147646,29495946,11.35172948852,,,127,5.9259259259259,,7,9.0714285714286,8,OPTIMAL,0.23,0,1,
HYB-bom_13-tax_100_cap_85,bom_13,bom_supemis_13.csv,EMISHYBRID,PLM,1,10,100,25071554.1,85%,129720,129599.8922,127100.5,,,2499.3922,0,0,24993922,29495946,15.263195830369,,,120,11.111111111111,,9,8.5714285714286,8,OPTIMAL,0.66,0,1,
HYB-bom_13-tax_100_cap_80,bom_13,bom_supemis_13.csv,EMISHYBRID,PLM,1,10,100,23596756.8,80%,130360,130243.7372,127888,,,2355.7372,0,0,23557372,29495946,20.133526146271,,,117,13.333333333333,,9,8.3571428571429,8,OPTIMAL,0.33,0,1,
HYB-bom_13-tax_100_cap_75,bom_13,bom_supemis_13.csv,EMISHYBRID,PLM,1,10,100,22121959.5,75%,153950,153843.7992,151636,,,2207.7992,0,0,22077992,29495946,25.149062857655,,,102,24.444444444444,,10,7.2857142857143,7,OPTIMAL,0.3,0,1,
HYB-bom_13-tax_100_cap_70,bom_13,bom_supemis_13.csv,EMISHYBRID,PLM,1,10,100,20647162.2,70%,172600,172512.3682,170516,,,1996.3682,0,0,19963682,29495946,32.317200472228,,,90,33.333333333333,,10,6.4285714285714,7,OPTIMAL,0.28,0,1,
HYB-bom_26-tax_0_cap_none,bom_26,bom_supemis_26.csv,EMISHYBRID,PLM,1,10,0,100000000,none,867550,867120,867120,,,0,0,0,41574400,41574400,0,,,430,0.23201856148492,,1,15.925925925926,3,OPTIMAL,0.08,0,1,
HYB-bom_26-tax_0_cap_100,bom_26,bom_supemis_26.csv,EMISHYBRID,PLM,1,10,0,41574400,100%,867550,867120,867120,,,0,0,0,41574400,41574400,0,,,430,0.23201856148492,,1,15.925925925926,3,OPTIMAL,0.11,0,1,
HYB-bom_26-tax_0_cap_95,bom_26,bom_supemis_26.csv,EMISHYBRID,PLM,1,10,0,39495680,95%,874560,874160,874160,,,0,0,0,39200500,41574400,5.7100042333744,,,402,6.7285382830626,,1,14.888888888889,3,OPTIMAL,0.11,0,1,
HYB-bom_26-tax_0_cap_90,bom_26,bom_supemis_26.csv,EMISHYBRID,PLM,1,10,0,37416960,90%,888540,888160,888160,,,0,0,0,37236100,41574400,10.435027324507,,,384,10.904872389791,,1,14.222222222222,3,OPTIMAL,0.2,0,1,
HYB-bom_26-tax_0_cap_85,bom_26,bom_supemis_26.csv,EMISHYBRID,PLM,1,10,0,35338240,85%,909550,909180,909180,,,0,0,0,35289400,41574400,15.117476139163,,,368,14.61716937355,,1,13.62962962963,3,OPTIMAL,0.33,0,1,
HYB-bom_26-tax_0_cap_80,bom_26,bom_supemis_26.csv,EMISHYBRID,PLM,1,10,0,33259520,80%,932160,931800,931800,,,0,0,0,33015100,41574400,20.587909867611,,,360,16.473317865429,,1,13.333333333333,3,OPTIMAL,0.39,0,1,
HYB-bom_26-tax_0_cap_75,bom_26,bom_supemis_26.csv,EMISHYBRID,PLM,1,10,0,31180800,75%,957480,957140,957140,,,0,0,0,31144400,41574400,25.08755387931,,,336,22.041763341067,,1,12.444444444444,2,OPTIMAL,0.75,0,1,
HYB-bom_26-tax_0_cap_70,bom_26,bom_supemis_26.csv,EMISHYBRID,PLM,1,10,0,29102080,70%,1008500,1008240,1008240,,,0,0,0,29010200,41574400,30.221001385468,,,309,28.30626450116,,1,11.444444444444,2,OPTIMAL,1.05,0,1,
HYB-bom_26-tax_15_cap_none,bom_26,bom_supemis_26.csv,EMISHYBRID,PLM,1,10,15,100000000,none,868170,867743.616,867120,,,623.616,0,0,41574400,41574400,0,,,430,0.23201856148492,,1,15.925925925926,3,OPTIMAL,0.09,0,1,
HYB-bom_26-tax_15_cap_100,bom_26,bom_supemis_26.csv,EMISHYBRID,PLM,1,10,15,41574400,100%,868170,867743.616,867120,,,623.616,0,0,41574400,41574400,0,,,430,0.23201856148492,,1,15.925925925926,3,OPTIMAL,0.11,0,1,
HYB-bom_26-tax_15_cap_95,bom_26,bom_supemis_26.csv,EMISHYBRID,PLM,1,10,15,39495680,95%,875150,874748.0075,874160,,,588.0075,0,0,39200500,41574400,5.7100042333744,,,402,6.7285382830626,,1,14.888888888889,3,OPTIMAL,0.25,0,1,
HYB-bom_26-tax_15_cap_90,bom_26,bom_supemis_26.csv,EMISHYBRID,PLM,1,10,15,37416960,90%,889100,888718.5415,888160,,,558.5415,0,0,37236100,41574400,10.435027324507,,,384,10.904872389791,,1,14.222222222222,3,OPTIMAL,0.41,0,1,
HYB-bom_26-tax_15_cap_85,bom_26,bom_supemis_26.csv,EMISHYBRID,PLM,1,10,15,35338240,85%,910080,909709.341,909180,,,529.341,0,0,35289400,41574400,15.117476139163,,,368,14.61716937355,,1,13.62962962963,3,OPTIMAL,0.59,0,1,
HYB-bom_26-tax_15_cap_80,bom_26,bom_supemis_26.csv,EMISHYBRID,PLM,1,10,15,33259520,80%,932660,932295.2265,931800,,,495.2265,0,0,33015100,41574400,20.587909867611,,,360,16.473317865429,,1,13.333333333333,3,OPTIMAL,0.7,0,1,
HYB-bom_26-tax_15_cap_75,bom_26,bom_supemis_26.csv,EMISHYBRID,PLM,1,10,15,31180800,75%,957940,957607.166,957140,,,467.166,0,0,31144400,41574400,25.08755387931,,,336,22.041763341067,,1,12.444444444444,2,OPTIMAL,1.05,0,1,
HYB-bom_26-tax_15_cap_70,bom_26,bom_supemis_26.csv,EMISHYBRID,PLM,1,10,15,29102080,70%,1009000,1008675.153,1008240,,,435.153,0,0,29010200,41574400,30.221001385468,,,309,28.30626450116,,1,11.444444444444,2,OPTIMAL,1.03,0,1,
